Points,Diff,Team,GoalsFor,GoalsAgainst
91,92,Bruins,210,118
76,41,MapleLeafs,194,153
73,33,Lightning,195,164
64,-1,Panthers,209,210
60,14,Sabres,201,187
60,-7,RedWings,172,179
58,-7,Senators,172,179
50,-54,Canadiens,151,205
82,41,Hurricanes,188,147
79,46,Devils,195,149
75,36,Rangers,192,156
65,5,Islanders,175,170
63,2,Penguins,180,178
62,5,Capitals,175,170
56,-29,Flyers,157,186
41,-66,BlueJackets,146,212
72,37,Stars,185,148
71,32,Jets,180,148
67,18,Avalanche,173,155
65,6,Wild,167,161
58,-11,Predators,152,163
55,-30,Blues,175,205
49,-44,Coyotes,155,199
41,-65,Blackhawks,136,201
72,27,GoldenKnights,184,157
71,3,Kings,196,193
70,19,Kraken,197,178
68,23,Oilers,214,191
63,4,Flames,180,176
48,-35,Canucks,191,226
47,-39,Sharks,174,213
41,-96,Ducks,144,240
